playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,weight,birthplace,nation,shoots,draft,Birth City,Birth State/Province,draft_age
Dale Weise,53,84,7.2,11.1,130.0,111,New York Rangers,Dale Weise (F),2008,0,https://www.eliteprospects.com/player/15727/dale-weise,-,-,1988-08-05,"6'2""",93 kg / 205,"Winnipeg, MB, CAN",Canada,R,2008 round 4 #111 overall by New York Rangers,Winnipeg, ,18.9
Dalton Prout,63,121,3.0,3.9,157.5,154,Columbus Blue Jackets,Dalton Prout (D),2010,1,https://www.eliteprospects.com/player/22629/dalton-prout,-,-,1990-03-13,"6'3""",104 kg / 229,"LaSalle, ON, CAN",Canada,R,2010 round 6 #154 overall by Columbus Blue Jackets,LaSalle, ,17.3
Dalton Smith,62,129,6.3,8.3,170.6,34,Columbus Blue Jackets,Dalton Smith (F),2010,0,https://www.eliteprospects.com/player/30923/dalton-smith,-,-,1992-06-30,"6'2""",93 kg / 205,"Oshawa, ON, CAN",Canada,L,2010 round 2 #34 overall by Columbus Blue Jackets,Oshawa, ,15.0
Dalton Thrower,66,103,7.6,9.4,128.0,51,Montréal Canadiens,Dalton Thrower (D),2012,1,https://www.eliteprospects.com/player/45529/dalton-thrower,-,-,1993-12-20,"6'0""",92 kg / 203,"Squamish, BC, CAN",Canada,R,2012 round 2 #51 overall by Montréal Canadiens,Squamish, ,13.5
Damon Severson,63,88,5.5,7.2,114.5,60,New Jersey Devils,Damon Severson (D),2012,1,https://www.eliteprospects.com/player/55867/damon-severson,New Jersey Devils,Signed,1994-08-07,"6'2""",93 kg / 205,"Brandon, MB, CAN",Canada,R,2012 round 2 #60 overall by New Jersey Devils,Brandon, ,12.9
Dan DeLisle,24,14,1.6,5.5,47.8,89,Chicago Blackhawks,Dan DeLisle (F),2009,0,https://www.eliteprospects.com/player/38048/dan-delisle,-,-,1990-09-24,"6'5""",104 kg / 229,"Minneapolis, MN, USA",USA,L,2009 round 3 #89 overall by Chicago Blackhawks,Minneapolis, ,16.8
Dan Gendur,61,62,6.9,9.3,83.3,206,Vancouver Canucks,Dan Gendur (F),2007,0,https://www.eliteprospects.com/player/13603/dan-gendur,-,-,1987-05-21,"5'11""",93 kg / 205,"Vancouver, BC, CAN",Canada,R,2007 round 7 #206 overall by Vancouver Canucks,Vancouver, ,20.1
Dana Tyrell,72,51,7.9,9.0,58.1,47,Tampa Bay Lightning,Dana Tyrell (F),2007,0,https://www.eliteprospects.com/player/11638/dana-tyrell,-,-,1989-04-23,"5'10""",87 kg / 192,"Airdrie, AB, CAN",Canada,L,2007 round 2 #47 overall by Tampa Bay Lightning,Airdrie, ,18.2
Dane Birks,52,28,1.6,2.5,44.2,164,Pittsburgh Penguins,Dane Birks (D),2013,1,https://www.eliteprospects.com/player/151460/dane-birks,-,-,1995-08-29,"6'2""",91 kg / 201,"Merritt, BC, CAN",Canada,R,2013 round 6 #164 overall by Pittsburgh Penguins,Merritt, ,11.8
Danick Paquette,63,213,4.7,6.1,277.2,64,Atlanta Thrashers,Danick Paquette (F),2008,0,https://www.eliteprospects.com/player/12401/danick-paquette,-,-,1990-07-17,"6'0""",94 kg / 207,"Montréal, QC, CAN",Canada,R,2008 round 3 #64 overall by Atlanta Thrashers,Montréal, ,17.0
Daniel Audette,75,93,9.0,9.8,101.7,147,Montréal Canadiens,Daniel Audette (F),2014,0,https://www.eliteprospects.com/player/128505/daniel-audette,-,-,1996-05-06,"5'9""",75 kg / 165,"Blainville, QC, CAN",Canada,L,2014 round 5 #147 overall by Montréal Canadiens,Blainville, ,11.2
Daniel Bernhardt,50,26,5.6,9.2,42.6,119,New York Rangers,Daniel Bernhardt (F),2015,0,https://www.eliteprospects.com/player/142253/daniel-bernhardt,-,-,1996-04-11,"6'3""",88 kg / 194,"Huddinge, SWE",Sweden,L,2015 round 4 #119 overall by New York Rangers,Huddinge, ,11.2
Daniel Brodin,67,64,4.699999999999999,5.8,78.3,146,Toronto Maple Leafs,Daniel Brodin (F),2010,0,https://www.eliteprospects.com/player/10051/daniel-brodin,-,-,1990-02-09,"6'1""",85 kg / 187,"Stockholm, SWE",Sweden,R,2010 round 5 #146 overall by Toronto Maple Leafs,Stockholm, ,17.4
Daniel Catenacci,74,139,10.5,11.6,154.0,77,Buffalo Sabres,Daniel Catenacci (F),2011,0,https://www.eliteprospects.com/player/41287/daniel-catenacci,-,-,1993-03-09,"5'10""",88 kg / 194,"Richmond Hill, ON, CAN",Italy,L,2011 round 3 #77 overall by Buffalo Sabres,Richmond Hill, ,14.3
Daniel Gunnarsson,59,20,4.3,6.0,27.8,128,Minnesota Wild,Daniel Gunnarsson (D),2012,1,https://www.eliteprospects.com/player/13319/daniel-gunnarsson,-,-,1992-04-15,"6'4""",94 kg / 207,"Köping, SWE",Sweden,R,2012 round 5 #128 overall by Minnesota Wild,Köping, ,15.2
Daniel Maggio,44,60,2.3,4.3,111.8,170,New York Rangers,Daniel Maggio (D),2009,1,https://www.eliteprospects.com/player/37729/daniel-maggio,-,-,1991-03-04,"6'2""",87 kg / 192,"Windsor, ON, CAN",Canada,R,2009 round 6 #170 overall by New York Rangers,Windsor, ,16.3
Daniel Pribyl,57,22,4.3,6.2,31.6,168,Montréal Canadiens,Daniel Pribyl (F),2011,0,https://www.eliteprospects.com/player/101160/daniel-pribyl,-,-,1992-12-18,"6'3""",94 kg / 207,"Ostrava, CZE",Czechia,R,2011 round 6 #168 overall by Montréal Canadiens,Ostrava, ,14.5
Daniel Sprong,68,18,9.9,11.9,21.7,46,Pittsburgh Penguins,Daniel Sprong (F),2015,0,https://www.eliteprospects.com/player/231299/daniel-sprong,Seattle Kraken,Signed,1997-03-17,"6'0""",88 kg / 194,"Amsterdam, NED",Netherlands,R,2015 round 2 #46 overall by Pittsburgh Penguins,Amsterdam, ,10.3
Daniel Walcott,67,71,4.4,5.4,86.9,140,New York Rangers,Daniel Walcott (F),2014,0,https://www.eliteprospects.com/player/257725/daniel-walcott,Tampa Bay Lightning,Signed,1994-02-19,"6'1""",79 kg / 174,"Île Perrot, QC, CAN",Canada,L,2014 round 5 #140 overall by New York Rangers,Île Perrot, ,13.4
Daniel Zaar,57,28,4.0,5.8,40.3,152,Columbus Blue Jackets,Daniel Zaar (F),2012,0,https://www.eliteprospects.com/player/39009/daniel-zaar,-,-,1994-04-24,"6'0""",81 kg / 179,"Helsingborg, SWE",Sweden,R,2012 round 6 #152 overall by Columbus Blue Jackets,Helsingborg, ,13.2
Daniil Sobchenko,37,16,6.3,14.0,35.5,166,San Jose Sharks,Daniil Sobchenko (F),2011,0,https://www.eliteprospects.com/player/38658/daniil-sobchenko,-,-,1991-04-13,"6'2""",95 kg / 209,"Kyiv, UKR",Russia,L,2011 round 6 #166 overall by San Jose Sharks,Kyiv, ,16.2
Daniil Zharkov,56,33,5.9,8.6,48.3,91,Edmonton Oilers,Daniil Zharkov (F),2012,0,https://www.eliteprospects.com/player/103517/daniil-zharkov,-,-,1994-02-06,"6'4""",99 kg / 218,"St. Petersburg, RUS",Russia,L,2012 round 3 #91 overall by Edmonton Oilers,St. Petersburg, ,13.4
Danny Biega,32,47,1.7,4.4,120.4,67,Carolina Hurricanes,Danny Biega (D),2010,1,https://www.eliteprospects.com/player/40194/danny-biega,-,-,1991-09-29,"6'0""",93 kg / 205,"Montréal, QC, CAN",Canada,R,2010 round 3 #67 overall by Carolina Hurricanes,Montréal, ,15.8
Danny Hobbs,60,36,3.0,4.1,49.2,198,New York Rangers,Danny Hobbs (F),2007,0,https://www.eliteprospects.com/player/14389/danny-hobbs,-,-,1989-06-21,"5'11""",87 kg / 192,"Ottawa, ON, CAN",Canada,L,2007 round 7 #198 overall by New York Rangers,Ottawa, ,18.0
Danny Kristo,78,59,6.3,6.6,62.0,56,Montréal Canadiens,Danny Kristo (F),2008,0,https://www.eliteprospects.com/player/17504/danny-kristo,-,-,1990-06-18,"6'0""",88 kg / 194,"Eden Prairie, MN, USA",USA,R,2008 round 2 #56 overall by Montréal Canadiens,Eden Prairie, ,17.0
Danny O'Regan,35,6,2.6999999999999997,6.3,14.1,138,San Jose Sharks,Danny O'Regan (F),2012,0,https://www.eliteprospects.com/player/121936/danny-o-regan,Detroit Red Wings,Signed,1994-01-30,"5'10""",83 kg / 183,"Berlin, GER",USA,R,2012 round 5 #138 overall by San Jose Sharks,Berlin, ,13.4
Danton Heinen,57,8,5.0,7.2,11.5,116,Boston Bruins,Danton Heinen (F),2014,0,https://www.eliteprospects.com/player/105821/danton-heinen,Pittsburgh Penguins,Signed,1995-07-05,"6'1""",85 kg / 187,"Langley, BC, CAN",Canada,L,2014 round 4 #116 overall by Boston Bruins,Langley, ,12.0
Darian Dziurzynski,72,125,8.0,9.1,142.4,141,Phoenix Coyotes,Darian Dziurzynski (F),2011,0,https://www.eliteprospects.com/player/33572/darian-dziurzynski,-,-,1991-03-30,"6'1""",93 kg / 205,"Lloydminster, AB, CAN",Canada,L,2011 round 5 #141 overall by Phoenix Coyotes,Lloydminster, ,16.3
Darnell Nurse,68,116,5.9,7.1,139.9,7,Edmonton Oilers,Darnell Nurse (D),2013,1,https://www.eliteprospects.com/player/97352/darnell-nurse,Edmonton Oilers,Signed,1995-02-04,"6'4""",100 kg / 220,"Hamilton, ON, CAN",Canada,L,2013 round 1 #7 overall by Edmonton Oilers,Hamilton, ,12.4
Darren Dietz,68,66,3.8,4.6,79.6,138,Montréal Canadiens,Darren Dietz (D),2011,1,https://www.eliteprospects.com/player/52798/darren-dietz,-,-,1993-07-17,"6'2""",95 kg / 209,"Medicine Hat, AB, CAN",Kazakhstan,R,2011 round 5 #138 overall by Montréal Canadiens,Medicine Hat, ,14.0
Darren Kramer,78,334,2.3,2.4,351.1,156,Ottawa Senators,Darren Kramer (F),2011,0,https://www.eliteprospects.com/player/23970/darren-kramer,-,-,1991-11-19,"6'1""",95 kg / 209,"Peace River, AB, CAN",Canada,L,2011 round 6 #156 overall by Ottawa Senators,Peace River, ,15.6
Daultan Leveillé,45,38,1.5,2.7,69.2,29,Atlanta Thrashers,Daultan Leveillé (F),2008,0,https://www.eliteprospects.com/player/18599/daultan-leveille,-,-,1990-08-10,"6'0""",84 kg / 185,"St. Catharines, ON, CAN",Canada,L,2008 round 1 #29 overall by Atlanta Thrashers,St. Catharines, ,16.9
David Broll,65,85,4.9,6.2,107.2,152,Toronto Maple Leafs,David Broll (F),2011,0,https://www.eliteprospects.com/player/45404/david-broll,-,-,1993-01-04,"6'2""",107 kg / 236,"Mississauga, ON, CAN",Canada,L,2011 round 6 #152 overall by Toronto Maple Leafs,Mississauga, ,14.5
David Carle,61,61,1.4,1.9,82.0,203,Tampa Bay Lightning,David Carle (D),2008,1,https://www.eliteprospects.com/player/15017/david-carle,-,-,1989-11-09,"6'0""",84 kg / 185,"Anchorage, AK, USA",USA,L,2008 round 7 #203 overall by Tampa Bay Lightning,Anchorage, ,17.6
David Cotton,13,4,0.7,4.4,25.2,169,Carolina Hurricanes,David Cotton (F),2015,0,https://www.eliteprospects.com/player/225022/david-cotton,-,-,1997-07-09,"6'3""",86 kg / 190,"Parker, TX, USA",USA,L,2015 round 6 #169 overall by Carolina Hurricanes,Parker, ,10.0
David Drake,52,22,0.30000000000000004,0.5,34.7,192,Philadelphia Flyers,David Drake (D),2013,1,https://www.eliteprospects.com/player/219791/david-drake,-,-,1995-01-07,"6'6""",88 kg / 194,"Naperville, IL, USA",USA,L,2013 round 7 #192 overall by Philadelphia Flyers,Naperville, ,12.5
David Elsner,68,146,2.6,3.1,176.1,194,Nashville Predators,David Elsner (F),2010,0,https://www.eliteprospects.com/player/43428/david-elsner,-,-,1992-03-22,"6'0""",83 kg / 183,"Landshut, GER",Germany,R,2010 round 7 #194 overall by Nashville Predators,Landshut, ,15.3
David Gilbert,67,24,4.9,6.0,29.4,209,Chicago Blackhawks,David Gilbert (F),2009,0,https://www.eliteprospects.com/player/37467/david-gilbert,-,-,1991-02-09,"6'2""",84 kg / 185,"Châteauguay, QC, CAN",Canada,L,2009 round 7 #209 overall by Chicago Blackhawks,Châteauguay, ,16.4
David Kase,68,22,5.5,6.6,26.5,128,Philadelphia Flyers,David Kase (F),2015,0,https://www.eliteprospects.com/player/158842/david-kase,Philadelphia Flyers,Unsigned,1997-01-28,"5'11""",77 kg / 170,"Kadan, CZE",Czechia,L,2015 round 5 #128 overall by Philadelphia Flyers,Kadan, ,10.4
David Kolomatis,67,52,6.6,8.1,63.6,126,Los Angeles Kings,David Kolomatis (D),2009,1,https://www.eliteprospects.com/player/14642/david-kolomatis,-,-,1989-02-25,"5'11""",89 kg / 196,"Livingston, NJ, USA",USA,R,2009 round 5 #126 overall by Los Angeles Kings,Livingston, ,18.3
David Labrecque,59,76,6.9,9.6,105.6,153,Philadelphia Flyers,David Labrecque (F),2009,0,https://www.eliteprospects.com/player/23201/david-labrecque,-,-,1990-01-27,"6'0""",88 kg / 194,"Québec, QC, CAN",Canada,L,2009 round 6 #153 overall by Philadelphia Flyers,Québec, ,17.4
David Musil,76,99,3.5,3.8,106.8,31,Edmonton Oilers,David Musil (D),2011,1,https://www.eliteprospects.com/player/23298/david-musil,-,-,1993-04-09,"6'4""",96 kg / 212,"Calgary, AB, CAN",Czechia,L,2011 round 2 #31 overall by Edmonton Oilers,Calgary, ,14.2
David Pacan,58,78,2.9,4.1,110.3,177,Chicago Blackhawks,David Pacan (F),2009,0,https://www.eliteprospects.com/player/38052/david-pacan,-,-,1991-03-31,"6'3""",94 kg / 207,"Ottawa, ON, CAN",Canada,R,2009 round 6 #177 overall by Chicago Blackhawks,Ottawa, ,16.3
David Pastrnak,72,59,10.1,11.5,67.2,25,Boston Bruins,David Pastrnak (F),2014,0,https://www.eliteprospects.com/player/130383/david-pastrnak,Boston Bruins,Signed,1996-05-25,"6'0""",88 kg / 194,"Havirov, CZE",Czechia,R,2014 round 1 #25 overall by Boston Bruins,Havirov, ,11.1
David Perron,70,75,9.4,11.0,87.9,26,St. Louis Blues,David Perron (F),2007,0,https://www.eliteprospects.com/player/11123/david-perron,Detroit Red Wings,Signed,1988-05-28,"6'1""",92 kg / 203,"Sherbrooke, QC, CAN",Canada,R,2007 round 1 #26 overall by St. Louis Blues,Sherbrooke, ,19.1
David Pope,42,20,3.1,6.1,39.0,109,Detroit Red Wings,David Pope (F),2013,0,https://www.eliteprospects.com/player/57035/david-pope,-,-,1994-09-27,"6'2""",85 kg / 187,"Edmonton, AB, CAN",Canada,L,2013 round 4 #109 overall by Detroit Red Wings,Edmonton, ,12.8
David Rundblad,80,22,7.6,7.8,22.5,17,St. Louis Blues,David Rundblad (D),2009,1,https://www.eliteprospects.com/player/7069/david-rundblad,-,-,1990-10-08,"6'2""",85 kg / 187,"Lycksele, SWE",Sweden,R,2009 round 1 #17 overall by St. Louis Blues,Lycksele, ,16.7
David Savard,68,33,5.0,6.0,39.8,94,Columbus Blue Jackets,David Savard (D),2009,1,https://www.eliteprospects.com/player/32878/david-savard,Montréal Canadiens,Signed,1990-10-22,"6'1""",106 kg / 234,"Saint-Hyacinthe, QC, CAN",Canada,R,2009 round 4 #94 overall by Columbus Blue Jackets,Saint-Hyacinthe, ,16.7
David Shields,61,28,2.4,3.2,37.6,168,St. Louis Blues,David Shields (D),2009,1,https://www.eliteprospects.com/player/37634/david-shields,-,-,1991-01-27,"6'3""",93 kg / 205,"Rochester, NY, USA",USA,R,2009 round 6 #168 overall by St. Louis Blues,Rochester, ,16.4
David Toews,51,20,2.8,4.5,32.2,66,New York Islanders,David Toews (F),2008,0,https://www.eliteprospects.com/player/15018/david-toews,-,-,1990-06-07,"5'10""",82 kg / 181,"Winnipeg, MB, CAN",Canada,R,2008 round 3 #66 overall by New York Islanders,Winnipeg, ,17.1
David Ullström,55,88,4.9,7.3,131.2,102,New York Islanders,David Ullström (F),2008,0,https://www.eliteprospects.com/player/6913/david-ullstrom,-,-,1989-04-22,"6'4""",88 kg / 194,"Jönköping, SWE",Sweden,L,2008 round 4 #102 overall by New York Islanders,Jönköping, ,18.2
David Warsofsky,63,42,5.5,7.2,54.7,95,St. Louis Blues,David Warsofsky (D),2008,1,https://www.eliteprospects.com/player/17499/david-warsofsky,-,-,1990-05-30,"5'9""",77 kg / 170,"Marshfield, MA, USA",USA,L,2008 round 4 #95 overall by St. Louis Blues,Marshfield, ,17.1
David Westlund,58,63,1.5,2.1,89.1,163,Arizona Coyotes,David Westlund (D),2014,1,https://www.eliteprospects.com/player/67162/david-westlund,-,-,1995-02-05,"6'3""",94 kg / 207,"Östersund, SWE",Sweden,L,2014 round 6 #163 overall by Arizona Coyotes,Östersund, ,12.4
David Wohlberg,66,91,3.6,4.5,113.1,172,New Jersey Devils,David Wohlberg (F),2008,0,https://www.eliteprospects.com/player/17509/david-wohlberg,-,-,1990-07-18,"6'1""",87 kg / 192,"South Lyon, MI, USA",USA,L,2008 round 6 #172 overall by New Jersey Devils,South Lyon, ,17.0
Denis Guryanov,48,78,5.300000000000001,9.1,133.2,12,Dallas Stars,Denis Guryanov (F),2015,0,https://www.eliteprospects.com/player/263964/denis-guryanov,Dallas Stars,Signed,1997-06-07,"6'3""",93 kg / 205,"Togliatti, RUS",Russia,L,2015 round 1 #12 overall by Dallas Stars,Togliatti, ,10.1
Denis Malgin,130,30,14.200000000000001,9.0,18.9,102,Florida Panthers,Denis Malgin (F),2015,0,https://www.eliteprospects.com/player/117376/denis-malgin,Colorado Avalanche,Signed,1997-01-18,"5'9""",80 kg / 176,"Olten, SUI",Switzerland,R,2015 round 4 #102 overall by Florida Panthers,Olten, ,10.4
Denis Reul,119,212,1.9,1.3,146.1,130,Boston Bruins,Denis Reul (D),2007,1,https://www.eliteprospects.com/player/11845/denis-reul,-,-,1989-06-29,"6'4""",112 kg / 247,"Marktredwitz, GER",Germany,R,2007 round 5 #130 overall by Boston Bruins,Marktredwitz, ,18.0
Denis Yan,59,71,7.2,10.0,98.7,64,Tampa Bay Lightning,Denis Yan (F),2015,0,https://www.eliteprospects.com/player/183259/denis-yan,-,-,1997-04-14,"6'2""",85 kg / 187,"Portland, OR, USA",Russia,L,2015 round 3 #64 overall by Tampa Bay Lightning,Portland, ,10.2
Dennis Gilbert,59,89,3.9,5.4,123.7,91,Chicago Blackhawks,Dennis Gilbert (D),2015,1,https://www.eliteprospects.com/player/267396/dennis-gilbert,Calgary Flames,Signed,1996-10-30,"6'2""",98 kg / 216,"Buffalo, NY, USA",USA,L,2015 round 3 #91 overall by Chicago Blackhawks,Buffalo, ,10.7
Dennis Robertson,30,48,3.3,9.0,131.2,173,Toronto Maple Leafs,Dennis Robertson (D),2011,1,https://www.eliteprospects.com/player/46692/dennis-robertson,-,-,1991-05-24,"6'0""",95 kg / 209,"Fort St. John, BC, CAN",Canada,L,2011 round 6 #173 overall by Toronto Maple Leafs,Fort St. John, ,16.1
Derek Forbort,98,78,5.699999999999999,4.8,65.3,15,Los Angeles Kings,Derek Forbort (D),2010,1,https://www.eliteprospects.com/player/31265/derek-forbort,Boston Bruins,Signed,1992-03-04,"6'4""",99 kg / 218,"Duluth, MN, USA",USA,L,2010 round 1 #15 overall by Los Angeles Kings,Duluth, ,15.3
Derek Grant,57,44,5.0,7.2,63.3,119,Ottawa Senators,Derek Grant (F),2008,0,https://www.eliteprospects.com/player/18242/derek-grant,Anaheim Ducks,Signed,1990-04-20,"6'3""",95 kg / 209,"Abbotsford, BC, CAN",Canada,L,2008 round 4 #119 overall by Ottawa Senators,Abbotsford, ,17.2
Derek Mathers,55,173,0.7,1.0,257.9,206,Philadelphia Flyers,Derek Mathers (F),2011,0,https://www.eliteprospects.com/player/75894/derek-mathers,-,-,1993-08-04,"6'3""",103 kg / 227,"Strathroy, ON, CAN",Canada,R,2011 round 7 #206 overall by Philadelphia Flyers,Strathroy, ,13.9
Derek Rodwell,41,69,1.8,3.6,138.0,144,New Jersey Devils,Derek Rodwell (F),2009,0,https://www.eliteprospects.com/player/40882/derek-rodwell,-,-,1990-07-08,"6'2""",92 kg / 203,"Taber, AB, CAN",Canada,R,2009 round 5 #144 overall by New Jersey Devils,Taber, ,17.0
Derek Stepan,63,24,3.1,4.0,31.2,51,New York Rangers,Derek Stepan (F),2008,0,https://www.eliteprospects.com/player/19040/derek-stepan,Carolina Hurricanes,Signed,1990-06-18,"5'11""",89 kg / 196,"Hastings, MN, USA",USA,R,2008 round 2 #51 overall by New York Rangers,Hastings, ,17.0
Derrick Pouliot,72,79,8.3,9.5,90.0,8,Pittsburgh Penguins,Derrick Pouliot (D),2012,1,https://www.eliteprospects.com/player/59741/derrick-pouliot,-,-,1994-01-16,"6'0""",89 kg / 196,"Estevan, SK, CAN",Canada,L,2012 round 1 #8 overall by Pittsburgh Penguins,Estevan, ,13.5
Devante Smith-Pelly,60,35,8.9,12.2,47.8,42,Anaheim Ducks,Devante Smith-Pelly (F),2010,0,https://www.eliteprospects.com/player/32728/devante-smith-pelly,-,-,1992-06-14,"6'0""",101 kg / 223,"Scarborough, ON, CAN",Canada,R,2010 round 2 #42 overall by Anaheim Ducks,Scarborough, ,15.0
Devante Stephens,64,33,1.6,2.1,42.3,122,Buffalo Sabres,Devante Stephens (D),2015,1,https://www.eliteprospects.com/player/268073/devante-stephens,-,-,1997-01-02,"6'3""",84 kg / 185,"White Rock, BC, CAN",Canada,L,2015 round 5 #122 overall by Buffalo Sabres,White Rock, ,10.5
Deven Sideroff,71,37,6.4,7.4,42.7,84,Anaheim Ducks,Deven Sideroff (F),2015,0,https://www.eliteprospects.com/player/202370/deven-sideroff,-,-,1997-04-14,"6'0""",79 kg / 174,"Summerland, BC, CAN",Canada,R,2015 round 3 #84 overall by Anaheim Ducks,Summerland, ,10.2
Devin Shore,41,26,2.0,4.0,52.0,61,Dallas Stars,Devin Shore (F),2012,0,https://www.eliteprospects.com/player/149937/devin-shore,Edmonton Oilers,Signed,1994-07-19,"6'1""",93 kg / 205,"Ajax, ON, CAN",Canada,L,2012 round 2 #61 overall by Dallas Stars,Ajax, ,13.0
Devon Toews,37,10,3.3,7.3,22.2,108,New York Islanders,Devon Toews (D),2014,1,https://www.eliteprospects.com/player/59575/devon-toews,Colorado Avalanche,Signed,1994-02-21,"6'1""",87 kg / 192,"Abbotsford, BC, CAN",Canada,L,2014 round 4 #108 overall by New York Islanders,Abbotsford, ,13.4
Dillon Donnelly,63,153,0.9,1.2,199.1,183,Colorado Avalanche,Dillon Donnelly (D),2011,1,https://www.eliteprospects.com/player/45161/dillon-donnelly,-,-,1993-09-07,"6'2""",88 kg / 194,"Amherst, NY, USA",Canada,L,2011 round 7 #183 overall by Colorado Avalanche,Amherst, ,13.8
Dillon Fournier,52,59,4.3,6.8,93.0,48,Chicago Blackhawks,Dillon Fournier (D),2012,1,https://www.eliteprospects.com/player/76329/dillon-fournier,-,-,1994-06-15,"6'2""",84 kg / 185,"Dorval, QC, CAN",Canada,L,2012 round 2 #48 overall by Chicago Blackhawks,Dorval, ,13.0
Dillon Heatherington,78,84,3.9,4.1,88.3,50,Columbus Blue Jackets,Dillon Heatherington (D),2013,1,https://www.eliteprospects.com/player/62233/dillon-heatherington,Ottawa Senators,Signed,1995-05-09,"6'4""",98 kg / 216,"Calgary, AB, CAN",Canada,L,2013 round 2 #50 overall by Columbus Blue Jackets,Calgary, ,12.1
Dillon Simpson,30,8,1.9,5.2,21.9,92,Edmonton Oilers,Dillon Simpson (D),2011,1,https://www.eliteprospects.com/player/44487/dillon-simpson,-,-,1993-02-10,"6'2""",87 kg / 192,"Edmonton, AB, CAN",Canada,L,2011 round 4 #92 overall by Edmonton Oilers,Edmonton, ,14.4
Dmitri Kugryshev,39,68,8.3,17.5,143.0,58,Washington Capitals,Dmitri Kugryshev (F),2008,0,https://www.eliteprospects.com/player/11865/dmitri-kugryshev,-,-,1990-01-18,"5'11""",85 kg / 187,"Balakovo, RUS",Russia,R,2008 round 2 #58 overall by Washington Capitals,Balakovo, ,17.4
Dmitri Kulikov,64,50,8.1,10.4,64.1,14,Florida Panthers,Dmitri Kulikov (D),2009,1,https://www.eliteprospects.com/player/11866/dmitri-kulikov,Anaheim Ducks,Signed,1990-10-29,"6'1""",90 kg / 198,"Lipetsk, RUS",Russia,L,2009 round 1 #14 overall by Florida Panthers,Lipetsk, ,16.7
Dmitri Orlov,29,16,1.4,4.0,45.2,55,Washington Capitals,Dmitri Orlov (D),2009,1,https://www.eliteprospects.com/player/17758/dmitri-orlov,Washington Capitals,Signed,1991-07-23,"5'11""",97 kg / 214,"Novokuznetsk, RUS",Russia,L,2009 round 2 #55 overall by Washington Capitals,Novokuznetsk, ,15.9
Dmitri Sinitsyn,7,10,0.0,0.0,117.1,183,Dallas Stars,Dmitri Sinitsyn (D),2012,1,https://www.eliteprospects.com/player/121902/dmitri-sinitsyn,-,-,1994-06-17,"6'2""",89 kg / 196,"Moskva, RUS",Russia,L,2012 round 7 #183 overall by Dallas Stars,Moskva, ,13.0
Dmitri Zhukenov,56,102,3.5,5.1,149.4,114,Vancouver Canucks,Dmitri Zhukenov (F),2015,0,https://www.eliteprospects.com/player/277804/dmitri-zhukenov,Vancouver Canucks,Unsigned,1997-03-24,"5'11""",79 kg / 174,"Omsk, RUS",Russia,R,2015 round 4 #114 overall by Vancouver Canucks,Omsk, ,10.3
Dmitrij Jaskin,54,44,6.5,9.9,66.8,41,St. Louis Blues,Dmitrij Jaskin (F),2011,0,https://www.eliteprospects.com/player/65564/dmitrij-jaskin,-,-,1993-03-23,"6'3""",102 kg / 225,"Omsk, RUS",Czechia,L,2011 round 2 #41 overall by St. Louis Blues,Omsk, ,14.3
Dmytro Timashov,66,54,10.2,12.7,67.1,125,Toronto Maple Leafs,Dmytro Timashov (F),2015,0,https://www.eliteprospects.com/player/115161/dmytro-timashov,-,-,1996-10-01,"5'10""",85 kg / 187,"Kirovograd, UKR",Sweden,L,2015 round 5 #125 overall by Toronto Maple Leafs,Kirovograd, ,10.7
Dominic Toninato,50,58,2.2,3.6,95.1,126,Toronto Maple Leafs,Dominic Toninato (F),2012,0,https://www.eliteprospects.com/player/122004/dominic-toninato,Winnipeg Jets,Signed,1994-03-09,"6'2""",91 kg / 201,"Duluth, MN, USA",USA,L,2012 round 5 #126 overall by Toronto Maple Leafs,Duluth, ,13.3
Dominic Turgeon,65,31,4.4,5.6,39.1,63,Detroit Red Wings,Dominic Turgeon (F),2014,0,https://www.eliteprospects.com/player/120642/dominic-turgeon,-,-,1996-02-25,"6'2""",92 kg / 203,"Pointe-Claire, QC, CAN",USA,L,2014 round 3 #63 overall by Detroit Red Wings,Pointe-Claire, ,11.3
Dominik Bielke,121,222,7.0,4.7,150.4,207,San Jose Sharks,Dominik Bielke (D),2009,1,https://www.eliteprospects.com/player/17622/dominik-bielke,-,-,1990-10-23,"6'4""",86 kg / 190,"Berlin, GER",Germany,L,2009 round 7 #207 overall by San Jose Sharks,Berlin, ,16.7
Dominik Kubalík,77,53,5.6000000000000005,6.0,56.4,191,Los Angeles Kings,Dominik Kubalík (F),2013,0,https://www.eliteprospects.com/player/101221/dominik-kubalik,Detroit Red Wings,Signed,1995-08-21,"6'2""",86 kg / 190,"Plzen, CZE",Czechia,L,2013 round 7 #191 overall by Los Angeles Kings,Plzen, ,11.9
Dominik Masin,74,159,2.0,2.2,176.2,35,Tampa Bay Lightning,Dominik Masin (D),2014,1,https://www.eliteprospects.com/player/127501/dominik-masin,Tampa Bay Lightning,Unsigned,1996-02-01,"6'2""",90 kg / 198,"Mestec Kralove, CZE",Czechia,L,2014 round 2 #35 overall by Tampa Bay Lightning,Mestec Kralove, ,11.4
