playername,GP,PIM,DY League NHLe,DY League NHLe Per 82GP,Total PIM Per 82GP,Overall#,Team,Player,Draft Year,is_def,link,rights,status,dob,height,height _inches,weight,weight_pounds,birthplace,nation,shoots,draft,Birth City,new draft_age,redraft
Dwight King ,62,39,6.2,8.2,51.6,109,Los Angeles Kings,Dwight King (F),2007,0,https://www.eliteprospects.com/player/12539/dwight-king,-,-,7/5/1989,"6'4""",76,104 kg / 229,229,"Meadow Lake, SK, CAN",Canada,L,2007 round 4 #109 overall by Los Angeles Kings,Meadow Lake,18.0,FALSE
Dwyer Tschantz ,52,58,6.3,9.9,91.5,202,St. Louis Blues,Dwyer Tschantz (F),2014,0,https://www.eliteprospects.com/player/191247/dwyer-tschantz,-,-,3/22/1995,"6'5""",77,95 kg / 209,209,"Wilmington, DE, USA",USA,R,2014 round 7 #202 overall by St. Louis Blues,Wilmington,19.3,FALSE
Dylan Blujus ,66,38,4.9,6.1,47.2,40,Tampa Bay Lightning,Dylan Blujus (D),2012,1,https://www.eliteprospects.com/player/88064/dylan-blujus,-,-,1/22/1994,"6'3""",75,92 kg / 203,203,"Buffalo, NY, USA",USA,R,2012 round 2 #40 overall by Tampa Bay Lightning,Buffalo,18.4,FALSE
Dylan DeMelo ,67,70,3.9,4.8,85.7,179,San Jose Sharks,Dylan DeMelo (D),2011,1,https://www.eliteprospects.com/player/45603/dylan-demelo,Winnipeg Jets,Signed,5/1/1993,"6'1""",73,88 kg / 194,194,"London, ON, CAN",Canada,R,2011 round 6 #179 overall by San Jose Sharks,London,18.2,FALSE
Dylan Labbe ,61,57,3.2,4.3,76.6,107,Minnesota Wild,Dylan LabbÃ© (D),2013,1,https://www.eliteprospects.com/player/129015/dylan-labbe,-,-,1/9/1995,"6'2""",74,93 kg / 205,205,"St-Georges, QC, CAN",Canada,L,2013 round 4 #107 overall by Minnesota Wild,St-Georges,18.5,FALSE
Dylan Larkin ,92,82,11,9.8,73.1,15,Detroit Red Wings,Dylan Larkin (F),2014,0,https://www.eliteprospects.com/player/177693/dylan-larkin,Detroit Red Wings,Signed,7/30/1996,"6'1""",73,90 kg / 198,198,"Waterford Township, MI, USA",USA,L,2014 round 1 #15 overall by Detroit Red Wings,Waterford Township,17.9,FALSE
Dylan McIlrath ,65,169,3.4,4.3,213.2,10,New York Rangers,Dylan McIlrath (D),2010,1,https://www.eliteprospects.com/player/37170/dylan-mcilrath,Washington Capitals,Signed,4/20/1992,"6'5""",77,105 kg / 231,231,"Winnipeg, MB, CAN",Canada,R,2010 round 1 #10 overall by New York Rangers,Winnipeg,18.2,FALSE
Dylan Olsen ,59,137,2.3,3.2,190.4,28,Chicago Blackhawks,Dylan Olsen (D),2009,1,https://www.eliteprospects.com/player/19294/dylan-olsen,-,-,1/3/1991,"6'2""",74,101 kg / 223,223,"Salt Lake City, UT, USA",Canada,L,2009 round 1 #28 overall by Chicago Blackhawks,Salt Lake City,18.5,FALSE
Dylan Sadowy ,68,69,5.2,6.3,83.2,81,San Jose Sharks,Dylan Sadowy (F),2014,0,https://www.eliteprospects.com/player/194119/dylan-sadowy,-,-,4/2/1996,"6'1""",73,93 kg / 205,205,"Brampton, ON, CAN",Canada,L,2014 round 3 #81 overall by San Jose Sharks,Brampton,18.2,FALSE
Dylan Sikura ,41,16,2.2,4.4,32,178,Chicago Blackhawks,Dylan Sikura (F),2014,0,https://www.eliteprospects.com/player/146580/dylan-sikura,Chicago Blackhawks,Signed,6/1/1995,"5'11""",71,77 kg / 170,170,"Aurora, ON, CAN",Canada,L,2014 round 6 #178 overall by Chicago Blackhawks,Aurora,19.1,FALSE
Dylan Strome ,68,32,18.6,22.4,38.6,3,Arizona Coyotes,Dylan Strome (F),2015,0,https://www.eliteprospects.com/player/228107/dylan-strome,Washington Capitals,Signed,3/7/1997,"6'3""",75,91 kg / 201,201,"Mississauga, ON, CAN",Canada,L,2015 round 1 #3 overall by Arizona Coyotes,Mississauga,18.3,FALSE
Dylen McKinlay ,72,57,5.9,6.7,64.9,189,Minnesota Wild,Dylen McKinlay (F),2010,0,https://www.eliteprospects.com/player/32803/dylen-mckinlay,-,-,4/20/1992,"5'11""",71,77 kg / 170,170,"Langley, BC, CAN",Canada,R,2010 round 7 #189 overall by Minnesota Wild,Langley,18.2,FALSE
Dysin Mayo ,63,50,4.9,6.4,65.1,133,Arizona Coyotes,Dysin Mayo (D),2014,1,https://www.eliteprospects.com/player/120638/dysin-mayo,Arizona Coyotes,Signed,8/17/1996,"6'2""",74,88 kg / 194,194,"Victoria, BC, CAN",Canada,R,2014 round 5 #133 overall by Arizona Coyotes,Victoria,17.9,FALSE
Eddie Wittchow ,25,28,0.6,2,91.8,154,Florida Panthers,Eddie Wittchow (D),2011,1,https://www.eliteprospects.com/player/117575/eddie-wittchow,-,-,10/31/1992,"6'5""",77,102 kg / 225,225,"Burnsville, MN, USA",USA,L,2011 round 6 #154 overall by Florida Panthers,Burnsville,18.7,FALSE
Edgars Kulda ,79,63,8.5,8.8,65.4,193,Arizona Coyotes,Edgars Kulda (F),2014,0,https://www.eliteprospects.com/player/52421/edgars-kulda,-,-,11/13/1994,"6'0""",72,87 kg / 192,192,"Riga, LAT",Latvia,L,2014 round 7 #193 overall by Arizona Coyotes,Riga,19.6,FALSE
Eero Elo ,52,48,2.6,4.1,75.7,145,Minnesota Wild,Eero Elo (F),2008,0,https://www.eliteprospects.com/player/17014/eero-elo,-,-,4/26/1990,"6'4""",76,92 kg / 203,203,"Rauma, FIN",Finland,R,2008 round 5 #145 overall by Minnesota Wild,Rauma,18.2,FALSE
Elias Lindholm ,66,12,18.1,22.5,14.9,5,Carolina Hurricanes,Elias Lindholm (F),2013,0,https://www.eliteprospects.com/player/33387/elias-lindholm,Calgary Flames,Signed,12/2/1994,"6'0""",72,88 kg / 194,194,"Boden, SWE",Sweden,R,2013 round 1 #5 overall by Carolina Hurricanes,Boden,18.6,FALSE
Emerson Etem ,72,26,9.2,10.5,29.6,29,Anaheim Ducks,Emerson Etem (F),2010,0,https://www.eliteprospects.com/player/20718/emerson-etem,-,-,6/16/1992,"6'1""",73,96 kg / 212,212,"Long Beach, CA, USA",USA,L,2010 round 1 #29 overall by Anaheim Ducks,Long Beach,18.0,FALSE
Emil Galimov ,42,16,17.3,33.8,31.2,207,San Jose Sharks,Emil Galimov (F),2013,0,https://www.eliteprospects.com/player/42440/emil-galimov,San Jose Sharks,Unsigned,5/9/1992,"6'2""",74,84 kg / 185,185,"Nizhnekamsk, RUS",Russia,L,2013 round 7 #207 overall by San Jose Sharks,Nizhnekamsk,21.2,FALSE
Emil Johansson ,64,68,1.2,1.5,87.1,206,Boston Bruins,Emil Johansson (D),2014,1,https://www.eliteprospects.com/player/79498/emil-johansson,-,-,5/6/1996,"6'0""",72,87 kg / 192,192,"VÃ¤xjÃ¶, SWE",Sweden,L,2014 round 7 #206 overall by Boston Bruins,VÃ¤xjÃ¶,18.2,FALSE
Emil Molin ,61,114,4.1,5.5,153.2,105,Dallas Stars,Emil Molin (F),2011,0,https://www.eliteprospects.com/player/22269/emil-molin,-,-,2/3/1993,"6'1""",73,81 kg / 179,179,"GÃ¤vle, SWE",Sweden,L,2011 round 4 #105 overall by Dallas Stars,GÃ¤vle,18.4,FALSE
Emil Pettersson ,46,38,4,7.1,67.7,155,Nashville Predators,Emil Pettersson (F),2013,0,https://www.eliteprospects.com/player/27331/emil-pettersson,-,-,1/14/1994,"6'2""",74,80 kg / 176,176,"Sundsvall, SWE",Sweden,L,2013 round 6 #155 overall by Nashville Predators,Sundsvall,19.5,FALSE
Emil Sandin ,47,50,5.5,9.6,87.2,199,Ottawa Senators,Emil Sandin (F),2008,0,https://www.eliteprospects.com/player/3707/emil-sandin,-,-,2/28/1988,"5'10""",70,84 kg / 185,185,"Uppsala, SWE",Sweden,L,2008 round 7 #199 overall by Ottawa Senators,Uppsala,20.3,FALSE
Eric Cornel ,68,25,8.9,10.7,30.1,44,Buffalo Sabres,Eric Cornel (F),2014,0,https://www.eliteprospects.com/player/154475/eric-cornel,-,-,4/11/1996,"6'2""",74,90 kg / 198,198,"Kemptville, ON, CAN",Canada,R,2014 round 2 #44 overall by Buffalo Sabres,Kemptville,18.2,FALSE
Eric Knodel ,67,42,2.4,2.9,51.4,128,Toronto Maple Leafs,Eric Knodel (D),2009,1,https://www.eliteprospects.com/player/38031/eric-knodel,-,-,6/8/1990,"6'6""",78,98 kg / 216,216,"West Chester, PA, USA",USA,L,2009 round 5 #128 overall by Toronto Maple Leafs,West Chester,19.1,FALSE
Eric Locke ,68,84,14,16.9,101.3,189,Buffalo Sabres,Eric Locke (F),2013,0,https://www.eliteprospects.com/player/76776/eric-locke,-,-,11/21/1993,"5'10""",70,85 kg / 187,187,"Toronto, ON, CAN",Canada,L,2013 round 7 #189 overall by Buffalo Sabres,Toronto,19.6,FALSE
Eric Mestery ,71,65,2.3,2.7,75.1,57,Washington Capitals,Eric Mestery (D),2008,1,https://www.eliteprospects.com/player/19041/eric-mestery,-,-,5/28/1990,"6'4""",76,88 kg / 194,194,"Winnipeg, MB, CAN",Canada,L,2008 round 2 #57 overall by Washington Capitals,Winnipeg,18.1,FALSE
Eric O'Dell ,67,39,7.8,9.5,47.7,39,Anaheim Ducks,Eric O'Dell (F),2008,0,https://www.eliteprospects.com/player/17515/eric-o-dell,-,-,6/21/1990,"6'0""",72,94 kg / 207,207,"Ottawa, ON, CAN",Canada,R,2008 round 2 #39 overall by Anaheim Ducks,Ottawa,18.0,FALSE
Eric Roy ,72,37,5.5,6.3,42.1,135,Calgary Flames,Eric Roy (D),2013,1,https://www.eliteprospects.com/player/84740/eric-roy,-,-,10/24/1994,"6'3""",75,82 kg / 181,181,"Meadow Lake, SK, CAN",Canada,L,2013 round 5 #135 overall by Calgary Flames,Meadow Lake,18.7,FALSE
Eric Tangradi ,65,32,2.9,3.7,40.4,42,Anaheim Ducks,Eric Tangradi (F),2007,0,https://www.eliteprospects.com/player/12514/eric-tangradi,-,-,2/10/1989,"6'4""",76,103 kg / 227,227,"Philadelphia, PA, USA",USA,L,2007 round 2 #42 overall by Anaheim Ducks,Philadelphia,18.4,FALSE
Eric Wellwood ,61,12,4.9,6.6,16.1,172,Philadelphia Flyers,Eric Wellwood (F),2009,0,https://www.eliteprospects.com/player/23008/eric-wellwood,-,-,3/6/1990,"5'11""",71,78 kg / 172,172,"Oldcastle, ON, CAN",Canada,L,2009 round 6 #172 overall by Philadelphia Flyers,Oldcastle,19.3,FALSE
Erik Cernak ,57,34,4.3,6.2,48.9,43,Los Angeles Kings,Erik Cernak (D),2015,1,https://www.eliteprospects.com/player/166368/erik-cernak,Tampa Bay Lightning,Signed,5/28/1997,"6'4""",76,102 kg / 225,225,"Kosice, SVK",Slovakia,R,2015 round 2 #43 overall by Los Angeles Kings,Kosice,18.1,FALSE
Erik Foley ,55,80,7.7,11.5,119.3,78,Winnipeg Jets,Erik Foley (F),2015,0,https://www.eliteprospects.com/player/212561/erik-foley,-,-,6/30/1997,"6'0""",72,84 kg / 185,185,"Mansfield, MA, USA",USA,L,2015 round 3 #78 overall by Winnipeg Jets,Mansfield,18.0,FALSE
Erik Gudbranson ,47,72,3.4,5.9,125.6,3,Florida Panthers,Erik Gudbranson (D),2010,1,https://www.eliteprospects.com/player/31282/erik-gudbranson,Columbus Blue Jackets,Signed,1/7/1992,"6'5""",77,101 kg / 223,223,"Ottawa, ON, CAN",Canada,R,2010 round 1 #3 overall by Florida Panthers,Ottawa,18.5,FALSE
Erik Gustafsson ,65,38,5.3,6.7,47.9,93,Edmonton Oilers,Erik Gustafsson (D),2012,1,https://www.eliteprospects.com/player/15372/erik-gustafsson,Washington Capitals,Signed,3/14/1992,"6'0""",72,89 kg / 196,196,"NynÃ¤shamn, SWE",Sweden,L,2012 round 4 #93 overall by Edmonton Oilers,NynÃ¤shamn,20.3,FALSE
Erik Haula ,74,56,2.9,3.2,62.1,182,Minnesota Wild,Erik Haula (F),2009,0,https://www.eliteprospects.com/player/16042/erik-haula,New Jersey Devils,Signed,3/23/1991,"6'0""",72,87 kg / 192,192,"Pori, FIN",Finland,L,2009 round 7 #182 overall by Minnesota Wild,Pori,18.3,FALSE
Erik Jinesjo Karlsson,81,102,4,4,103.3,99,Carolina Hurricanes,Erik JinesjÃ¶ Karlsson (F),2012,0,https://www.eliteprospects.com/player/33395/erik-jinesjo-karlsson,-,-,7/28/1994,"5'11""",71,77 kg / 170,170,"Lerum, SWE",Sweden,L,2012 round 4 #99 overall by Carolina Hurricanes,Lerum,17.9,FALSE
Erik Karlsson ,72,98,5,5.7,111.6,15,Ottawa Senators,Erik Karlsson (D),2008,1,https://www.eliteprospects.com/player/9878/erik-karlsson,San Jose Sharks,Signed,5/31/1990,"6'0""",72,86 kg / 190,190,"Landsbro, SWE",Sweden,R,2008 round 1 #15 overall by Ottawa Senators,Landsbro,18.1,FALSE
Erik Nystrom ,58,18,3.6,5.1,25.4,154,MontrÃ©al Canadiens,Erik NystrÃ¶m (F),2012,0,https://www.eliteprospects.com/player/32070/erik-nystrom,-,-,10/30/1993,"5'11""",71,80 kg / 176,176,"Stockholm, SWE",Sweden,L,2012 round 6 #154 overall by MontrÃ©al Canadiens,Stockholm,18.7,FALSE
Esa Lindell ,72,36,5,5.7,41,74,Dallas Stars,Esa Lindell (D),2012,1,https://www.eliteprospects.com/player/50019/esa-lindell,Dallas Stars,Signed,5/23/1994,"6'3""",75,100 kg / 220,220,"Helsinki, FIN",Finland,L,2012 round 3 #74 overall by Dallas Stars,Helsinki,18.1,FALSE
Ethan Bear ,76,29,5.8,6.3,31.3,124,Edmonton Oilers,Ethan Bear (D),2015,1,https://www.eliteprospects.com/player/197561/ethan-bear,Vancouver Canucks,Signed,6/26/1997,"5'11""",71,89 kg / 196,196,"Regina, SK, CAN",Canada,R,2015 round 5 #124 overall by Edmonton Oilers,Regina,18.0,FALSE
Ethan Werek ,72,89,10,11.4,101.4,47,New York Rangers,Ethan Werek (F),2009,0,https://www.eliteprospects.com/player/21591/ethan-werek,-,-,6/7/1991,"6'1""",73,96 kg / 212,212,"Markham, ON, CAN",China,L,2009 round 2 #47 overall by New York Rangers,Markham,18.1,FALSE
Evan Bloodoff ,71,77,3,3.5,88.9,157,Phoenix Coyotes,Evan Bloodoff (F),2009,0,https://www.eliteprospects.com/player/30440/evan-bloodoff,-,-,11/21/1990,"5'11""",71,86 kg / 190,190,"Castlegar, BC, CAN",Canada,L,2009 round 6 #157 overall by Phoenix Coyotes,Castlegar,18.6,FALSE
Evan Campbell ,51,46,5.3,8.5,74,128,Edmonton Oilers,Evan Campbell (F),2013,0,https://www.eliteprospects.com/player/59951/evan-campbell,-,-,3/1/1993,"6'1""",73,93 kg / 205,205,"Port Coquitlam, BC, CAN",Canada,L,2013 round 5 #128 overall by Edmonton Oilers,Port Coquitlam,20.3,FALSE
Evander Kane ,67,91,15.1,18.5,111.4,4,Atlanta Thrashers,Evander Kane (F),2009,0,https://www.eliteprospects.com/player/14657/evander-kane,Edmonton Oilers,Signed,8/2/1991,"6'2""",74,95 kg / 209,209,"Vancouver, BC, CAN",Canada,L,2009 round 1 #4 overall by Atlanta Thrashers,Vancouver,17.9,FALSE
Felix Girard ,58,58,6.9,9.8,82,95,Nashville Predators,FÃ©lix Girard (F),2013,0,https://www.eliteprospects.com/player/88969/felix-girard,-,-,5/9/1994,"5'11""",71,88 kg / 194,194,"LÃ©vis, QC, CAN",Canada,R,2013 round 4 #95 overall by Nashville Predators,LÃ©vis,19.2,FALSE
Fabrice Herzog ,79,42,5.8,6,43.6,142,Toronto Maple Leafs,Fabrice Herzog (F),2013,0,https://www.eliteprospects.com/player/94494/fabrice-herzog,Toronto Maple Leafs,Unsigned,12/9/1994,"6'2""",74,80 kg / 176,176,"Frauenfeld, SUI",Switzerland,L,2013 round 5 #142 overall by Toronto Maple Leafs,Frauenfeld,18.6,FALSE
Filip Ahl ,75,126,5.3,5.8,137.8,109,Ottawa Senators,Filip Ahl (F),2015,0,https://www.eliteprospects.com/player/162177/filip-ahl,-,-,6/12/1997,"6'3""",75,96 kg / 212,212,"JÃ¶nkÃ¶ping, SWE",Sweden,L,2015 round 4 #109 overall by Ottawa Senators,JÃ¶nkÃ¶ping,18.0,FALSE
Filip Chlapik ,75,48,8.5,9.3,52.5,48,Ottawa Senators,Filip ChlapÃ­k (F),2015,0,https://www.eliteprospects.com/player/157524/filip-chlapik,-,-,6/3/1997,"6'2""",74,94 kg / 207,207,"Praha, CZE",Czechia,L,2015 round 2 #48 overall by Ottawa Senators,Praha,18.1,FALSE
Filip Forsberg ,89,59,7.4,6.8,54.4,11,Washington Capitals,Filip Forsberg (F),2012,0,https://www.eliteprospects.com/player/29626/filip-forsberg,Nashville Predators,Signed,8/13/1994,"6'2""",74,93 kg / 205,205,"Ã–stervÃ¥la, SWE",Sweden,R,2012 round 1 #11 overall by Washington Capitals,Ã–stervÃ¥la,17.9,FALSE
Frederik Gauthier ,69,28,7.3,8.7,33.3,21,Toronto Maple Leafs,FrÃ©dÃ©rik Gauthier (F),2013,0,https://www.eliteprospects.com/player/128500/frederik-gauthier,-,-,4/26/1995,"6'5""",77,108 kg / 238,238,"Laval, QC, CAN",Canada,L,2013 round 1 #21 overall by Toronto Maple Leafs,Laval,18.2,FALSE
Francis Beauvillier ,67,75,3.8,4.7,91.8,174,Florida Panthers,Francis Beauvillier (F),2012,0,https://www.eliteprospects.com/player/45149/francis-beauvillier,-,-,10/22/1993,"6'1""",73,82 kg / 181,181,"Sorel, QC, CAN",Canada,L,2012 round 6 #174 overall by Florida Panthers,Sorel,18.7,FALSE
Francis Perron ,68,32,6.2,7.5,38.6,190,Ottawa Senators,Francis Perron (F),2014,0,https://www.eliteprospects.com/player/151539/francis-perron,-,-,4/18/1996,"6'0""",72,75 kg / 165,165,"Laval, QC, CAN",Canada,L,2014 round 7 #190 overall by Ottawa Senators,Laval,18.2,FALSE
Frank Corrado ,67,94,4.3,5.3,115,150,Vancouver Canucks,Frank Corrado (D),2011,1,https://www.eliteprospects.com/player/45547/frank-corrado,-,-,3/26/1993,"6'0""",72,93 kg / 205,205,"Woodbridge, ON, CAN",Canada,R,2011 round 5 #150 overall by Vancouver Canucks,Woodbridge,18.3,FALSE
Frazer McLaren ,61,186,4.4,5.9,250,203,San Jose Sharks,Frazer McLaren (F),2007,0,https://www.eliteprospects.com/player/14501/frazer-mclaren,-,-,10/29/1987,"6'5""",77,104 kg / 229,229,"Winnipeg, MB, CAN",Canada,L,2007 round 7 #203 overall by San Jose Sharks,Winnipeg,19.7,FALSE
Freddie Hamilton ,70,12,8.7,10.2,14.1,129,San Jose Sharks,Freddie Hamilton (F),2010,0,https://www.eliteprospects.com/player/31570/freddie-hamilton,-,-,1/1/1992,"6'1""",73,88 kg / 194,194,"Toronto, ON, CAN",Canada,R,2010 round 5 #129 overall by San Jose Sharks,Toronto,18.5,FALSE
Frederik Tiffels ,38,16,5.2,11.2,34.5,167,Pittsburgh Penguins,Frederik Tiffels (F),2015,0,https://www.eliteprospects.com/player/85240/frederik-tiffels,-,-,5/20/1995,"6'0""",72,91 kg / 201,201,"KÃ¶ln, GER",Germany,L,2015 round 6 #167 overall by Pittsburgh Penguins,KÃ¶ln,20.1,FALSE
Fredric Larsson ,65,231,1.1,1.4,291.4,111,Philadelphia Flyers,Fredric Larsson (D),2012,1,https://www.eliteprospects.com/player/38937/fredric-larsson,-,-,7/4/1994,"6'3""",75,81 kg / 179,179,"Karlstad, SWE",Sweden,L,2012 round 4 #111 overall by Philadelphia Flyers,Karlstad,18.0,FALSE
Fredrik Claesson ,63,43,1.6,2.1,56,126,Ottawa Senators,Fredrik Claesson (D),2011,1,https://www.eliteprospects.com/player/14412/fredrik-claesson,-,-,11/24/1992,"6'1""",73,93 kg / 205,205,"Stockholm, SWE",Sweden,L,2011 round 5 #126 overall by Ottawa Senators,Stockholm,18.6,FALSE
Fredrik Olofsson ,58,47,3,4.2,66.4,98,Chicago Blackhawks,Fredrik Olofsson (F),2014,0,https://www.eliteprospects.com/player/195218/fredrik-olofsson,Dallas Stars,Signed,5/27/1996,"6'2""",74,89 kg / 196,196,"Helsingborg, SWE",Sweden,L,2014 round 4 #98 overall by Chicago Blackhawks,Helsingborg,18.1,FALSE
Gabriel Beaupre ,66,73,2,2.5,90.7,153,Colorado Avalanche,Gabriel BeauprÃ© (D),2011,1,https://www.eliteprospects.com/player/22857/gabriel-beaupre,-,-,11/23/1992,"6'2""",74,88 kg / 194,194,"LÃ©vis, QC, CAN",Canada,L,2011 round 6 #153 overall by Colorado Avalanche,LÃ©vis,18.6,FALSE
Gabriel Bourque ,60,82,6.9,9.4,112.1,132,Nashville Predators,Gabriel Bourque (F),2009,0,https://www.eliteprospects.com/player/28421/gabriel-bourque,-,-,9/23/1990,"5'10""",70,92 kg / 203,203,"Rimouski, QC, CAN",Canada,L,2009 round 5 #132 overall by Nashville Predators,Rimouski,18.8,FALSE
Gabriel Carlsson ,82,24,2,2,24,29,Columbus Blue Jackets,Gabriel Carlsson (D),2015,1,https://www.eliteprospects.com/player/187919/gabriel-carlsson,Washington Capitals,Signed,1/2/1997,"6'5""",77,92 kg / 203,203,"Ã–rebro, SWE",Sweden,L,2015 round 1 #29 overall by Columbus Blue Jackets,Ã–rebro,18.5,FALSE
Gabriel Dumont ,51,63,5.5,8.8,101.3,139,MontrÃ©al Canadiens,Gabriel Dumont (F),2009,0,https://www.eliteprospects.com/player/36736/gabriel-dumont,-,-,10/6/1990,"5'10""",70,81 kg / 179,179,"DÃ©gelis, QC, CAN",Canada,R,2009 round 5 #139 overall by MontrÃ©al Canadiens,DÃ©gelis,18.7,FALSE
Gabriel Gagne ,67,39,6.7,8.2,47.7,36,Ottawa Senators,Gabriel GagnÃ© (F),2015,0,https://www.eliteprospects.com/player/156103/gabriel-gagne,-,-,11/11/1996,"6'5""",77,84 kg / 185,185,"Ste-AdÃ¨le, QC, CAN",Canada,R,2015 round 2 #36 overall by Ottawa Senators,Ste-AdÃ¨le,18.6,FALSE
Gabriel Landeskog ,60,67,10,13.7,91.6,2,Colorado Avalanche,Gabriel Landeskog (F),2011,0,https://www.eliteprospects.com/player/10393/gabriel-landeskog,Colorado Avalanche,Signed,11/23/1992,"6'0""",72,98 kg / 216,216,"Stockholm, SWE",Sweden,L,2011 round 1 #2 overall by Colorado Avalanche,Stockholm,18.6,FALSE
Gabryel Paquin-Boudreau ,67,43,7.1,8.7,52.6,49,San Jose Sharks,Gabryel Paquin-Boudreau (F),2013,0,https://www.eliteprospects.com/player/151140/gabryel-paquin-boudreau,-,-,2/21/1995,"5'11""",71,77 kg / 170,170,"Beloeil, QC, CAN",Canada,L,2013 round 2 #49 overall by San Jose Sharks,Beloeil,18.4,FALSE
Gaelan Patterson ,71,41,8,9.2,47.4,201,Calgary Flames,Gaelan Patterson (D),2009,1,https://www.eliteprospects.com/player/32769/gaelan-patterson,-,-,8/22/1990,"6'1""",73,95 kg / 209,209,"La Ronge, SK, CAN",Canada,L,2009 round 7 #201 overall by Calgary Flames,La Ronge,18.9,FALSE
Gage Ausmus ,99,80,2.9,2.4,66.3,151,San Jose Sharks,Gage Ausmus (D),2013,1,https://www.eliteprospects.com/player/118008/gage-ausmus,-,-,4/22/1995,"6'1""",73,98 kg / 216,216,"Billings, MT, USA",USA,L,2013 round 5 #151 overall by San Jose Sharks,Billings,18.2,FALSE
Garret Ross ,60,93,7.8,10.7,127.1,139,Chicago Blackhawks,Garret Ross (F),2012,0,https://www.eliteprospects.com/player/45562/garret-ross,-,-,5/26/1992,"6'0""",72,78 kg / 172,172,"Dearborn Heights, MI, USA",USA,L,2012 round 5 #139 overall by Chicago Blackhawks,Dearborn Heights,20.1,FALSE
Garrett Haar ,51,38,3.3,5.3,61.1,207,Washington Capitals,Garrett Haar (D),2011,1,https://www.eliteprospects.com/player/75060/garrett-haar,-,-,8/16/1993,"6'0""",72,89 kg / 196,196,"Huntington Beach, CA, USA",USA,L,2011 round 7 #207 overall by Washington Capitals,Huntington Beach,17.9,FALSE
Garrett Klotz ,63,107,0.6,0.8,139.3,66,Philadelphia Flyers,Garrett Klotz (F),2007,0,https://www.eliteprospects.com/player/12519/garrett-klotz,-,-,11/27/1988,"6'5""",77,106 kg / 234,234,"Regina, SK, CAN",Canada,L,2007 round 3 #66 overall by Philadelphia Flyers,Regina,18.6,FALSE
Garrett Meurs ,68,61,5.8,7,73.6,123,Colorado Avalanche,Garrett Meurs (F),2011,0,https://www.eliteprospects.com/player/45565/garrett-meurs,-,-,1/12/1993,"5'11""",71,82 kg / 181,181,"Wingham, ON, CAN",Canada,R,2011 round 5 #123 overall by Colorado Avalanche,Wingham,18.5,FALSE
Garrett Mitchell ,77,146,2.2,2.3,155.5,175,Washington Capitals,Garrett Mitchell (F),2009,0,https://www.eliteprospects.com/player/21032/garrett-mitchell,-,-,9/2/1991,"5'11""",71,90 kg / 198,198,"Regina, SK, CAN",Canada,R,2009 round 6 #175 overall by Washington Capitals,Regina,17.8,FALSE
Garrett Noonan ,38,89,2.9,6.3,192.1,112,Nashville Predators,Garrett Noonan (D),2011,1,https://www.eliteprospects.com/player/48219/garrett-noonan,-,-,1/28/1991,"6'0""",72,93 kg / 205,205,"Norfolk, MA, USA",USA,L,2011 round 4 #112 overall by Nashville Predators,Norfolk,20.4,FALSE
Garrett Roe ,39,55,8.7,18.3,115.6,183,Los Angeles Kings,Garrett Roe (F),2008,0,https://www.eliteprospects.com/player/14867/garrett-roe,-,-,2/22/1988,"5'7""",67,77 kg / 170,170,"Vienna, VA, USA",USA,L,2008 round 7 #183 overall by Los Angeles Kings,Vienna,20.3,FALSE
Garrett Wilson ,53,44,5,7.7,68.1,107,Florida Panthers,Garrett Wilson (F),2009,0,https://www.eliteprospects.com/player/23809/garrett-wilson,-,-,3/16/1991,"6'3""",75,99 kg / 218,218,"Barrie, ON, CAN",Canada,L,2009 round 4 #107 overall by Florida Panthers,Barrie,18.3,FALSE
Gemel Smith ,75,53,9.3,10.2,57.9,104,Dallas Stars,Gemel Smith (F),2012,0,https://www.eliteprospects.com/player/122937/gemel-smith,Tampa Bay Lightning,Signed,4/16/1994,"5'11""",71,88 kg / 194,194,"Toronto, ON, CAN",Canada,L,2012 round 4 #104 overall by Dallas Stars,Toronto,18.2,FALSE
Geoff Schemitsch ,68,28,5.9,7.1,33.8,96,Tampa Bay Lightning,Geoff Schemitsch (D),2010,1,https://www.eliteprospects.com/player/45578/geoff-schemitsch,-,-,4/1/1992,"6'2""",74,88 kg / 194,194,"Toronto, ON, CAN",Canada,R,2010 round 4 #96 overall by Tampa Bay Lightning,Toronto,18.2,FALSE
Geordie Wudrick ,66,72,6.2,7.7,89.5,88,Los Angeles Kings,Geordie Wudrick (F),2008,0,https://www.eliteprospects.com/player/19047/geordie-wudrick,-,-,4/9/1990,"6'3""",75,91 kg / 201,201,"Abbotsford, BC, CAN",Canada,L,2008 round 3 #88 overall by Los Angeles Kings,Abbotsford,18.2,FALSE
Gianluca Curcuruto ,63,36,2.3,3,46.9,182,Columbus Blue Jackets,Gianluca Curcuruto (D),2012,1,https://www.eliteprospects.com/player/91686/gianluca-curcuruto,-,-,2/25/1994,"6'1""",73,89 kg / 196,196,"Toronto, ON, CAN",Canada,L,2012 round 7 #182 overall by Columbus Blue Jackets,Toronto,18.3,FALSE
Giorgio Estephan ,64,18,7.2,9.2,23.1,152,Buffalo Sabres,Giorgio Estephan (F),2015,0,https://www.eliteprospects.com/player/131304/giorgio-estephan,-,-,2/3/1997,"6'0""",72,89 kg / 196,196,"Edmonton, AB, CAN",Canada,R,2015 round 6 #152 overall by Buffalo Sabres,Edmonton,18.4,FALSE
